Name,District Number,District Name,Class,Group,TD1: Degree,TD1: Major/Field,TD1: School,TD1: Year,TD2: Degree,TD2: Major/Field,TD2: School,TD2: Year,City,State,Job Title,Organization,Sector,Race,Gender,Birth Year,Age at Start,FOMC Combined,FOMC Pre-reorg,FOMC Pre Start Year,FOMC Pre End Year,FOMC Post-reorg,FOMC Post Start Year,FOMC Post End Year,Start Year (pos.),End Year (pos.),title,first,middle,last,suffix,nickname,middle_initial
WILLIAM C BRAINARD,1,Boston,C Chair,,PhD,Economics,Yale University,1963,,,,,New Haven,Connecticut,Professor of Economic & Chair of  Department of Economics,Yale University,Education,W,M,1935,62,,,,,,,,1997,2001,,WILLIAM,C,BRAINARD,,,C
"LESTER H MCKEEVER, JR",7,Chicago,C Chair,,JD,Law,Illinois Institute of Technology,1971,,,,,Chicago,Illinois,Managing Partner,"Washington, Pittman & McKeever",Financial Services (non-banking),NW,M,1934,63,,,,,,,,1997,1999,,LESTER,H,MCKEEVER,JR,,H
KIRK A MCLAUGHLIN,11,Dallas,A,2.0,,,,,,,,,Ralls,Texas,Chief Executive Officer & President,Security Bank of Ralls,Banking,W,M,1958,39,,,,,,,,1997,2000,,KIRK,A,MCLAUGHLIN,,,A
ROGER R HEMMINGHAUS,11,Dallas,C Chair,,Bachelor's,Chemical Engineering,Auburn University,1958,,,,,San Antonio,Texas,"Chairman, Chief Executive Officer, & President","Diamond Shamrock, Inc.","Energy, Mining, & Extraction",W,M,1936,61,,,,,,,,1997,2000,,ROGER,R,HEMMINGHAUS,,,R
GARY G MICHAEL,12,San Francisco,C Dep. Chair,,Bachelor's,Business,University of Idaho,1962,,,,,Boise,Idaho,Chairman & Chief Executive Officer,Albertsons Inc.,Wholesale & Retail Trade,W,M,1940,57,,,,,,,,1997,1997,,GARY,G,MICHAEL,,,G
"G WATTS HUMPHREY, JR",4,Cleveland,C Chair,,Master's,Business,Harvard University,,,,,,Pittsburgh,Pennsylvania,President,"GWH Holdings, Inc.",Financial Services (non-banking),W,M,1944,53,,,,,,,,1997,1999,,G,WATTS,HUMPHREY,JR,,W
CECE SMITH,11,Dallas,C Dep. Chair,,Master's,Liberal Arts,Southern Methodist University,,,,,,Dallas,Texas,General Partner,Phillips-Smith Specialty Retail Group,Wholesale & Retail Trade,W,M,1944,53,,,,,,,,1997,1997,,CECE,,SMITH,,,
ELIZABETH A DUKE,5,Richmond,A,2.0,Master's,Business,Old Dominion University,,,,,,Virginia Beach,Virginia,Chief Executive Officer & President,Bank of Tidewater,Banking,W,F,1952,46,"Governor, Board of Governors",,,,"Governor, Board of Governors",2008,2013,1998,2000,,ELIZABETH,A,DUKE,,,A
CHARISSE R LILLIE,3,Philadelphia,C Dep. Chair,,JD,Law,Yale University,1982,,,,,Philadelphia,Pennsylvania,Partner,Ballard Spahr Andrews & Ingersoll,Law,NW,F,1952,46,,,,,,,,1998,2000,,CHARISSE,R,LILLIE,,,R
EDWIN N CLIFT,1,Boston,A,2.0,Bachelor's,,Strayer University,,,,,,Bangor,Maine,Chief Executive Officer & President,Merrill Merchants Bank of Bangor,Banking,W,M,1939,59,,,,,,,,1998,2000,,EDWIN,N,CLIFT,,,N
JAMES J NORTON,1,Boston,C,,,,,,,,,,Washington,D.C.,President,Graphic Communications International Union,Labor,W,M,1930,68,,,,,,,,1998,2001,,JAMES,J,NORTON,,,J
"WALTER V SHIPLEY, II",2,New York,A,1.0,Bachelor's,,New York University,1961,,,,,New York,New York,Chairman & Chief Executive Officer,Chase Manhattan Bank,Banking,W,M,1935,63,,,,,,,,1998,2000,,WALTER,V,SHIPLEY,II,,V
RONAY MENSCHEL,2,New York,B,2.0,Bachelor's,,Cornell University,,,,,,New York,New York,President,Phipps Houses,Nonprofit/Business Groups,W,F,1942,56,,,,,,,,1998,2004,,RONAY,,MENSCHEL,,,
"HARRY ELWELL, III",3,Philadelphia,A,3.0,,,,,,,,,Absecon,New Jersey,Chief Executive Officer & President,First National Bank of Absecon,Banking,W,M,,,,,,,,,,1998,2000,,HARRY,,ELWELL,III,,
GLENN A SCHAEFFER,3,Philadelphia,C,,,,,,,,,,Harrisburg,Pennsylvania,President,Pennsylvania Building and Construction Trades Council,Labor,W,M,1942,56,,,,,,,,1998,2000,,GLENN,A,SCHAEFFER,,,A
CHERYL L KRUEGER-HORN,4,Cleveland,B,2.0,,,,,,,,,Westerville,Ohio,Chief Executive Officer & President,Cheryl & Co.,Wholesale & Retail Trade,W,F,1952,46,,,,,,,,1998,2003,,CHERYL,L,KRUEGER-HORN,,,L
JAMES E HADEN,5,Richmond,B,3.0,Master's,Public Health and Health Services Management,University of California at Los Angeles,1971,,,,,Charlottesville,Virginia,Chief Executive Officer & President,Martha Jefferson Hospital,Health Care Delivery,W,M,1946,52,,,,,,,,1998,2003,,JAMES,E,HADEN,,,E
SUZANNE E BOAS,6,Atlanta,B,1.0,,,,,,,,,Atlanta,Georgia,President,Consumer Credit Counseling Service of Great Atlanta,Nonprofit/Business Groups,W,F,1945,53,,,,,,,,1998,2004,,SUZANNE,E,BOAS,,,E
PAULA LOVELL,6,Atlanta,C,,Bachelor's,English,Vanderbilt University,1973,,,,,Nashville,Tennessee,President,"Lovell Communications, Inc.",Services - Miscellaneous,W,F,1946,52,,,,,,,,1998,1998,,PAULA,,LOVELL,,,
ROBERT R YOHANAN,7,Chicago,A,2.0,Master's,International Relations,University of Chicago,,,,,,Evanston,Illinois,Chief Executive Officer & Managing Director,First Bank & Trust of Evanston,Banking,W,M,1940,58,,,,,,,,1998,2003,,ROBERT,R,YOHANAN,,,R
JACK B EVANS,7,Chicago,B,1.0,Master's,Business,University of Iowa,1972,,,,,Cedar Rapids,Iowa,President,Hall-Perrine Foundation,Nonprofit/Business Groups,W,M,1948,50,,,,,,,,1998,2003,,JACK,B,EVANS,,,B
ROBERT L JOHNSON,8,St. Louis,B,2.0,,,,,,,,,Memphis,Tennessee,Chairman & Chief Executive Officer,"Johnson Bryce, Inc.",Services - Miscellaneous,NW,M,1935,63,,,,,,,,1998,2003,,ROBERT,L,JOHNSON,,,L
BRUCE PARKER,9,Minneapolis,A,1.0,,,,,,,,,Billings,Montana,President,Norwest Bank Montana,Banking,W,M,1952,46,,,,,,,,1998,2000,,BRUCE,,PARKER,,,
RONALD N ZWIEG,9,Minneapolis,B,1.0,,,,,,,,,Plymouth,Minnesota,President,"United Food & Commerical Workers, Local 653",Labor,W,M,1949,49,,,,,,,,1998,1998,,RONALD,N,ZWIEG,,,N
BRUCE A SCHRIEFER,10,Kansas City,A,2.0,,,,,,,,,Witchita,Kansas,President,"Bankers Bank of Kansas, N.A.",Banking,W,M,1949,49,,,,,,,,1998,2003,,BRUCE,A,SCHRIEFER,,,A
TERRENCE P DUNN,10,Kansas City,C Dep. Chair,,Master's,Business,University of Missouri,1973,,,,,Kansas City,Missouri,Chief Executive Officer & President,J.E. Dunn Construction Company,Real Estate & Construction,W,M,1950,48,,,,,,,,1998,2000,,TERRENCE,P,DUNN,,,P
RAY L HUNT,11,Dallas,C,,Bachelor's,Economics,Southern Methodist University,1965,,,,,Austin,Texas,General Vice President,"International Association of Bridge, Structural and Ornamental Iron Workers",Labor,W,M,1943,55,,,,,,,,1998,1998,,RAY,L,HUNT,,,L
JOHN V RINDLAUB,12,San Francisco,A,1.0,Bachelor's,Economics,Bucknell University,,,,,,Seattle,Washington,Group Executive Vice President,Bank of America Northwest Group,Banking,W,M,1943,55,,,,,,,,1998,2000,,JOHN,V,RINDLAUB,,,V
NELSON C RISING,12,San Francisco,C,,JD,Law,University of California at Los Angeles,1967,,,,,San Francisco,California,Chief Executive Officer & President,Catellus Development Corporation,Real Estate & Construction,W,M,1941,57,,,,,,,,1998,1998,,NELSON,C,RISING,,,C
WILLIAM OSGOOD TAYLOR,1,Boston,C Dep. Chair,,Bachelor's,,Harvard University,1954,,,,,Boston,Massachusetts,Chairman & Chief Executive Officer,Globe Newspaper Company,Publishing,W,M,1932,66,,,,,,,,1998,2001,,WILLIAM,OSGOOD,TAYLOR,,,O
JOHN F WIELAND,6,Atlanta,C Dep. Chair,,,,,,,,,,Atlanta,Georgia,President,"John Wieland Home, Inc.",Real Estate & Construction,W,M,1938,60,,,,,,,,1998,1998,,JOHN,F,WIELAND,,,F
PETER G PETERSON,2,New York,C Dep. Chair,,Master's,Business,Northwestern University,1951,,,,,New York,New York,Chairman,Blackstone Group,Financial Services (non-banking),W,M,1926,72,,,,,,,,1998,1999,,PETER,G,PETERSON,,,G
DAVID R JONES,6,Atlanta,C Chair,,,,,,,,,,Atlanta,Georgia,Chief Executive Officer & President,"AGL Resources, Inc.",Utilities,W,M,1937,61,,,,,,,,1998,1998,,DAVID,R,JONES,,,R
JAMES J HOWARD,9,Minneapolis,C Dep. Chair,,Master's,Science,Massachusetts Institute of Technology,1970,,,,,Minneapolis,Minnesota,"Chairman, Chief Executive Officer, & President",Northern States Power Company,Utilities,W,M,1935,63,,,,,,,,1998,1999,,JAMES,J,HOWARD,,,J
JO MARIE DANCIK,10,Kansas City,C Chair,,Bachelor's,,University of Cincinnati,,,,,,Denver,Colorado,Area Managing Partner,"Ernst & Young, LLP",Accounting,W,F,1956,42,,,,,,,,1998,2000,,JO,MARIE,DANCIK,,,M
JOAN CARTER,3,Philadelphia,C Chair,,Bachelor's,,College of Wooster,,,,,,Haddonfield,New Jersey,Chief Operating Officer & President,UM Holdings Inc.,Financial Services (non-banking),W,F,1943,55,,,,,,,,1998,2000,,JOAN,,CARTER,,,
DAVID A KOCH,9,Minneapolis,C Chair,,,,,,,,,,Golden Valley,Minnesota,Chairman & Chief Executive Officer,"Graco, Inc.",Manufacturing,W,M,1931,67,,,,,,,,1998,1999,,DAVID,A,KOCH,,,A
GARY G MICHAEL,12,San Francisco,C Chair,,Bachelor's,Business,University of Idaho,1962,,,,,Boise,Idaho,Chairman & Chief Executive Officer,Albertsons Inc.,Wholesale & Retail Trade,W,M,1940,58,,,,,,,,1998,2000,,GARY,G,MICHAEL,,,G
JAMES A MARTIN,11,Dallas,C Dep. Chair,,,,,,,,,,Austin,Texas,Third General Vice President,"International Association of Bridge, Structural and Ornamental Iron Workers",Labor,W,M,1928,70,,,,,,,,1998,1999,,JAMES,A,MARTIN,,,A
CYNTHIA A PARKER,12,San Francisco,C Dep. Chair,,,,,,,,,,Anchorage,Alaska,Executive Director,Anchorage Neighborhood,Health Care Delivery,W,F,1953,45,,,,,,,,1998,1998,,CYNTHIA,A,PARKER,,,A
MARIA CAMILA LEIVA,6,Atlanta,C,,,,,,,,,,Miami,Florida,Executive Vice President,Miami Free Zone,Transportation,NW,F,1956,43,,,,,,,,1999,2001,,MARIA,CAMILA,LEIVA,,,C
RICHARD L CARRION,2,New York,A,2.0,Master's,Management Information Systems,Massachusetts Institute of Technology,1976,,,,,San Juan,Puerto Rico,"Chairman, Chief Executive Officer, & President",Banco Popular de Puerto Rico,Banking,NW,M,1952,47,,,,,,,,1999,1999,,RICHARD,L,CARRION,,,L
"CHARLES A HEIMBOLD, JR",2,New York,C,,JD,Law,University of Pennsylvania,1960,,,,,New York,New York,Chairman & Chief Executive Officer,Bristol-Myers Squibb Company,Pharmaceuticals,W,M,1933,66,,,,,,,,1999,1999,,CHARLES,A,HEIMBOLD,JR,,A
"RUFUS A FULTON, JR",3,Philadelphia,A,1.0,,,Franklin and Marshall College,,,,,,Lancaster,Pennsylvania,"Chairman, President, & Chief Executive Officer",Fulton Financial Corporation,Banking,W,M,1940,59,,,,,,,,1999,2001,,RUFUS,A,FULTON,JR,,A
JOHN R COCHRAN,4,Cleveland,A,1.0,Bachelor's,Finance and Economics,University of Iowa,,,,,,Akron,Ohio,Chairman & Chief Executive Officer,FirstMerit Corporation,Banking,W,M,1943,56,,,,,,,,1999,2001,,JOHN,R,COCHRAN,,,R
WAYNE R EMBRY,4,Cleveland,B,1.0,Bachelor's,Education,Miami University,1958,,,,,Cleveland,Ohio,Chief Executive Officer & President,Cleveland Cavaliers,Consumer/Community,NW,M,1937,62,,,,,,,,1999,2004,,WAYNE,R,EMBRY,,,R
"JAMES M CULBERSON, JR",5,Richmond,A,3.0,Bachelor's,,Dartmouth College,1951,,,,,Asheboro,North Carolina,Chairman Emeritus,First National Bank & Trust Company of Asheboro,Banking,W,M,1929,70,,,,,,,,1999,2001,,JAMES,M,CULBERSON,JR,,M
IRWIN ZAZULIA,5,Richmond,C,,Bachelor's,Liberal Arts,Rutgers University,1963,,,,,Arlington,Virginia,Chief Executive Officer & President,Hecht's,Wholesale & Retail Trade,W,M,1942,57,,,,,,,,1999,2002,,IRWIN,,ZAZULIA,,,
JEREMIAH J SHEEHAN,5,Richmond,C Dep. Chair,,,,,,,,,,Richmond,Virginia,Chairman & Chief Executive Officer,Reynolds Metals Company,Manufacturing,W,M,1939,60,,,,,,,,1999,1999,,JEREMIAH,J,SHEEHAN,,,J
ALAN R TUBBS,7,Chicago,A,3.0,,,,,,,,,Maquoketa,Iowa,President,Maquoketa State Bank and Ohnward Bancshares Inc.,Banking,W,M,1944,55,,,,,,,,1999,2004,,ALAN,R,TUBBS,,,R
JAMES H KEYES,7,Chicago,B,2.0,Master's,Business,Northwestern University,1963,,,,,Milwaukee,Wisconsin,Chairman & Chief Executive Officer,"Johnson Controls, Inc.",Information Technology,W,M,1941,58,,,,,,,,1999,2004,,JAMES,H,KEYES,,,H
THOMAS H JACOBSEN,8,St. Louis,A,1.0,Master's,Business,University of Chicago,,,,,,St. Louis,Missouri,Chairman,Firstar Corporation,Banking,W,M,1940,59,,,,,,,,1999,2001,,THOMAS,H,JACOBSEN,,,H
BERT GREENWALT,8,St. Louis,B,3.0,PhD,,Mississippi State University,,,,,,Hazen,Arkansas,Partner,Greenwalt Company,Real Estate & Construction,W,M,,,,,,,,,,1999,2004,,BERT,,GREENWALT,,,
CHARLES W MUELLER,8,St. Louis,C Dep. Chair,,Master's,Business,St. Louis University,1966,,,,,St. Louis,Missouri,"Chairman, Chief Executive Officer, & President",Ameren Corporation,Utilities,W,M,1939,60,,,,,,,,1999,2000,,CHARLES,W,MUELLER,,,W
WILLARD WILLIAM LAJOIE,9,Minneapolis,A,2.0,,,,,,,,,Sault Ste. Marie,Michigan,Chairman & Chief Executive Officer,Central Savings Bank,Banking,W,M,1935,64,,,,,,,,1999,2001,,WILLARD,WILLIAM,LAJOIE,,,W
JAY F HOESCHLER,9,Minneapolis,B,3.0,,,,,,,,,La Crosse,Wisconsin,President & Owner,Hoeschler Corporation,Manufacturing,W,M,1954,45,,,,,,,,1999,2004,,JAY,F,HOESCHLER,,,F
JEFFREY L GERHART,10,Kansas City,A,3.0,Bachelor's,Business,University of Nebraska,1975,,,,,Newman Grove,Nebraska,Chief Executive Officer & President,First National Bank of Newman Grove,Banking,W,M,1948,51,,,,,,,,1999,2004,,JEFFREY,L,GERHART,,,L
JUDY LEY ALLEN,11,Dallas,B,1.0,Master's,Business,Harvard University,1963,,,,,Houston,Texas,Partner,Allen Investments,Financial Services (non-banking),W,F,1939,60,,,,,,,,1999,2006,,JUDY,LEY,ALLEN,,,L
"HENRY BARTELL ZACHRY, JR",11,Dallas,C,,Bachelor's,,Texas A&M,,,,,,San Antonio,Texas,Chairman & Chief Executive Officer,H.B. Zachry Company,Real Estate & Construction,W,M,1934,65,,,,,,,,1999,1999,,HENRY,BARTELL,ZACHRY,JR,,B
SHEILA D HARRIS,12,San Francisco,C,,PhD,Public Administration,Arizona State University,,,,,,Litchfield Park,Arizona,Consultant,Harris Consulting,Financial Services (non-banking),W,F,1953,46,,,,,,,,1999,2002,,SHEILA,D,HARRIS,,,D
PAULA LOVELL,6,Atlanta,C Dep. Chair,,Bachelor's,English,Vanderbilt University,1973,,,,,Nashville,Tennessee,President,"Lovell Communications, Inc.",Services - Miscellaneous,W,F,1946,53,,,,,,,,1999,2002,,PAULA,,LOVELL,,,
NELSON C RISING,12,San Francisco,C Dep. Chair,,JD,Law,University of California at Los Angeles,1967,,,,,San Francisco,California,Chief Executive Officer & President,Catellus Development Corporation,Real Estate & Construction,W,M,1941,58,,,,,,,,1999,2000,,NELSON,C,RISING,,,C
JOHN F WIELAND,6,Atlanta,C Chair,,,,,,,,,,Atlanta,Georgia,President,"John Wieland Home, Inc.",Real Estate & Construction,W,M,1938,61,,,,,,,,1999,2002,,JOHN,F,WIELAND,,,F
SUSAN S ELLIOT,8,St. Louis,C Chair,,Bachelor's,,Smith College,,,,,,St. Louis,Missouri,Chief Executive Officer & President,"Systems Service Enterprises, Inc.",Information Technology,W,F,1937,62,,,,,,,,1999,2000,,SUSAN,S,ELLIOT,,,S
TERRENCE MURRAY,1,Boston,A,1.0,,,,,,,,,Boston,Massachusetts,Chairman & Chief Executive Officer,FleetBoston Corporation,Banking,W,M,1940,59,,,,,,,,1999,2001,,TERRENCE,,MURRAY,,,
ORIT GADIESH,1,Boston,B,3.0,Master's,Business,Harvard University,1977,,,,,Boston,Massachusetts,Chairman,Bain & Company,Services - Miscellaneous,NW,F,1951,49,,,,,,,,2000,2005,,ORIT,,GADIESH,,,
CONNIE E EVANS,7,Chicago,B,2.0,,,,,,,,,Chicago,Illinois,President,Women's Self-Employment Project,Consumer/Community,NW,F,1957,43,,,,,,,,2000,2005,,CONNIE,E,EVANS,,,E
RHONDA HOLMAN,10,Kansas City,C,,,,,,,,,,Kansas City,Missouri,Vice President,Kauffman Center for Entrepreneurial Leadership of Ewing Marion Kauffman Foundation,Nonprofit/Business Groups,NW,F,1938,62,,,,,,,,2000,2003,,RHONDA,,HOLMAN,,,
PAUL M FERGUSON,1,Boston,A,3.0,,,,,,,,,Plymouth,New Hampshire,Chief Executive Officer & President,Pemigewasset National Bank,Banking,W,M,1954,46,,,,,,,,2000,2000,,PAUL,M,FERGUSON,,,M
ALBERT J SIMONE,2,New York,C,,PhD,Economics,Massachusetts Institute of Technology,1962,,,,,Rochester,New York,President,Rochester Institute of Technology,Education,W,M,1935,65,,,,,,,,2000,2002,,ALBERT,J,SIMONE,,,J
"FRANK KAMINSKI, JR",3,Philadelphia,A,2.0,,,,,,,,,Camp Hill,Pennsylvania,"Chairman, President, & Chief Executive Officer",Atlantic Central Bankers Bank,Banking,W,M,,,,,,,,,,2000,2001,,FRANK,,KAMINSKI,JR,,
ROBERT E CHAPPELL,3,Philadelphia,B,3.0,Master's,Business,University of Pennsylvania,1971,,,,,Horsham,Pennsylvania,Chairman & Chief Executive Officer,Penn Mutual Life Insurance Co.,Insurance,W,M,1943,57,,,,,,,,2000,2005,,ROBERT,E,CHAPPELL,,,E
PHILLIP R COX,4,Cleveland,C,,,,,,,,,,Cincinnati,Ohio,Chief Executive Officer & President,Cox Financial Corporation,Banking,NW,M,1948,52,,,,,,,,2000,2005,,PHILLIP,R,COX,,,R
ROBERT W MAHONEY,4,Cleveland,C Dep. Chair,,Master's,Business,Roosevelt University,,,,,,Uniontown,Ohio,Former Chairman,"Diebold, Incorporated",Financial Services (non-banking),W,M,1936,64,,,,,,,,2000,2002,,ROBERT,W,MAHONEY,,,W
"FRED L GREEN, III",5,Richmond,A,1.0,Master's,Business,University of South Carolina,1983,,,,,Columbia,South Carolina,"Chairman, Chief Executive Officer, & President",National Bank of South Carolina,Banking,W,M,1956,44,,,,,,,,2000,2002,,FRED,L,GREEN,III,,L
W HENRY HARMON,5,Richmond,B,1.0,PhD,Economics,The Union Institute,,,,,,Bridgeville,Pennsylvania,Chief Executive Officer & President,"Triana Energy, LLC and Union Drilling, Inc.","Energy, Mining, & Extraction",W,M,,,,,,,,,,2000,2005,,W,HENRY,HARMON,,,H
RICHARD G HICKSON,6,Atlanta,A,1.0,,,University of Georgia,,,,,,Jackson,Mississippi,Chief Executive Officer & President,Trustmark Corporation,Banking,W,M,,,,,,,,,,2000,2005,,RICHARD,G,HICKSON,,,G
JOHN DANE III,6,Atlanta,B,3.0,PhD,Civil Engineering,Tulane University,1975,,,,,New Orleans,Louisiana,Chief Executive Officer & President,"Trinity Yachts, Inc.",Manufacturing,W,M,1950,50,,,,,,,,2000,2003,,JOHN,,DANE,III,,
LUNSFORD W BRIDGES,8,St. Louis,A,2.0,,,,,,,,,Little Rock,Arkansas,Chief Executive Officer & President,Metropolitan National Bank,Banking,W,M,1942,58,,,,,,,,2000,2005,,LUNSFORD,W,BRIDGES,,,W
GAYLE PW JACKSON,8,St. Louis,C,,PhD,Political Science,Washington University,,,,,,St. Louis,Missouri,Managing Director,"Lange, Mullen & Bohn, L.L.C., Global Financial Solutions",Financial Services (non-banking),W,F,1946,54,,,,,,,,2000,2004,,GAYLE,PW,JACKSON,,,P
ROGER N BERGLUND,9,Minneapolis,A,3.0,,,,,,,,,Bowman,North Dakota,Chairman & President,Dakota Western Bank,Banking,W,M,1943,57,,,,,,,,2000,2002,,ROGER,N,BERGLUND,,,N
LINDA HALL WHITMAN,9,Minneapolis,C,,PhD,Education and Psychology,University of Minnesota,1980,,,,,Maple Plain,Minnesota,President,Ceridian,Information Technology,W,F,1951,49,,,,,,,,2000,2002,,LINDA,HALL,WHITMAN,,,H
PAULA MARSHALL-CHAPMAN,10,Kansas City,B,2.0,PhD,Commercial Science,Oklahoma City University,1993,,,,,Tulsa,Oklahoma,Chief Executive Officer,"Bama Companies, Inc.",Agriculture & Food Processing,W,F,1953,47,,,,,,,,2000,2002,,PAULA,,MARSHALL-CHAPMAN,,,
KENNETH T MURPHY,11,Dallas,A,1.0,,,,,,,,,Abilene,Texas,"Chairman, Chief Executive Officer, & President","First Financial Bankshares, Inc., of Abilene",Banking,W,M,1937,63,,,,,,,,2000,2002,,KENNETH,T,MURPHY,,,T
MALCOLM GILLIS,11,Dallas,B,2.0,PhD,,University of Illinois,1968,,,,,Houston,Texas,President,Rice University,Education,W,M,1941,59,,,,,,,,2000,2005,,MALCOLM,,GILLIS,,,
PATRICIA M PATTERSON,11,Dallas,C,,,,,,,,,,Dallas,Texas,President,"Patterson Investments, Inc.",Financial Services (non-banking),W,F,1937,63,,,,,,,,2000,2000,,PATRICIA,M,PATTERSON,,,M
GEORGE M SCALISE,12,San Francisco,B,1.0,Bachelor's,Engineering,Purdue University,1956,,,,,San Jose,California,President,Semiconductor Industry Association,Manufacturing,W,M,1934,66,,,,,,,,2000,2000,,GEORGE,M,SCALISE,,,M
"CHARLES A HEIMBOLD, JR",2,New York,C Dep. Chair,,JD,Law,University of Pennsylvania,1960,,,,,New York,New York,Chairman & Chief Executive Officer,Bristol-Myers Squibb Company,Pharmaceuticals,W,M,1933,67,,,,,,,,2000,2000,,CHARLES,A,HEIMBOLD,JR,,A
JEREMIAH J SHEEHAN,5,Richmond,C Chair,,,,,,,,,,Richmond,Virginia,Chairman & Chief Executive Officer,Reynolds Metals Company,Manufacturing,W,M,1939,61,,,,,,,,2000,2002,,JEREMIAH,J,SHEEHAN,,,J
"HENRY BARTELL ZACHRY, JR",11,Dallas,C,,Bachelor's,,Texas A&M,,,,,,San Antonio,Texas,Chairman & Chief Executive Officer,H.B. Zachry Company,Real Estate & Construction,W,M,1934,66,,,,,,,,2000,2000,,HENRY,BARTELL,ZACHRY,JR,,B
RONALD N ZWIEG,9,Minneapolis,C Dep. Chair,,,,,,,,,,Plymouth,Minnesota,President,"United Food & Commerical Workers, Local 653",Labor,W,M,1949,51,,,,,,,,2000,2001,,RONALD,N,ZWIEG,,,N
DAVID H HOAG,4,Cleveland,C Chair,,,,,,,,,,Cleveland,Ohio,Chairman & Chief Executive Officer,LTV Corporation,Manufacturing,W,M,1939,61,,,,,,,,2000,2002,,DAVID,H,HOAG,,,H
"WESLEY S WILLIAMS, JR",5,Richmond,C Dep. Chair,,JD,Law,Harvard University,1967,,,,,Washington,D.C.,Partner,Covington & Burling,Law,NW,M,1942,58,,,,,,,,2000,2002,,WESLEY,S,WILLIAMS,JR,,S
ROBERT J DARNALL,7,Chicago,C Dep. Chair,,Master's,Business,University of Chicago,1973,,,,,Chicago,Illinois,"Chairman, Chief Executive Officer, & President","Inland Steel Industries, Inc.","Energy, Mining, & Extraction",W,M,1938,62,,,,,,,,2000,2001,,ROBERT,J,DARNALL,,,J
PETER G PETERSON,2,New York,C Chair,,Master's,Business,Northwestern University,1951,,,,,New York,New York,Chairman,Blackstone Group,Financial Services (non-banking),W,M,1926,74,,,,,,,,2000,2003,,PETER,G,PETERSON,,,G
ARTHUR C MARTINEZ,7,Chicago,C Chair,,Master's,Business,Harvard University,1965,,,,,Hoffman Estates,Illinois,Chairman & Chief Executive Officer,Sears Roebuck & Co.,Wholesale & Retail Trade,W,M,1939,61,,,,,,,,2000,2001,,ARTHUR,C,MARTINEZ,,,C
JAMES J HOWARD,9,Minneapolis,C Chair,,Master's,Science,Massachusetts Institute of Technology,1970,,,,,Minneapolis,Minnesota,"Chairman, Chief Executive Officer, & President",Northern States Power Company,Utilities,W,M,1935,65,,,,,,,,2000,2001,,JAMES,J,HOWARD,,,J
"LESTER H MCKEEVER, JR",7,Chicago,C,,JD,Law,Illinois Institute of Technology,1971,,,,,Chicago,Illinois,Managing Partner,"Washington, Pittman & McKeever",Financial Services (non-banking),NW,M,1934,66,,,,,,,,2000,2000,,LESTER,H,MCKEEVER,JR,,H
T JOSEPH SEMROD,2,New York,A,2.0,JD,Law,University of Oklahoma,1963,,,,,Princeton,New Jersey,Chairman & Chief Executive Officer,Summit Bancorp of Princeton,Banking,W,M,1937,63,,,,,,,,2000,2001,,T,JOSEPH,SEMROD,,,J
CHARISSE R LILLIE,3,Philadelphia,C Chair,,JD,Law,Yale University,1982,,,,,Philadelphia,Pennsylvania,Partner,Ballard Spahr Andrews & Ingersoll,Law,NW,F,1952,49,,,,,,,,2001,2002,,CHARISSE,R,LILLIE,,,R
RICHARD C WHITE,1,Boston,A,2.0,,,,,,,,,Derby,Vermont,"Chairman, Chief Executive Officer, & President",Community National Bank of Derby,Banking,W,M,1946,55,,,,,,,,2001,2003,,RICHARD,C,WHITE,,,C
DAVID S OUTHOUSE,1,Boston,A,3.0,,,,,,,,,Newburyport,Massachusetts,Chief Executive Officer & President,First & Ocean National Bank of Newburyport,Banking,W,M,,,,,,,,,,2001,2003,,DAVID,S,OUTHOUSE,,,S
SHERWIN GREENBLATT,1,Boston,B,2.0,Master's,Electrical Engineering,Massachusetts Institute of Technology,,,,,,Framingham,Massachusetts,Chief Executive Officer & President,Bose Corporation,Manufacturing,W,M,1941,60,,,,,,,,2001,2003,,SHERWIN,,GREENBLATT,,,
SANFORD J WEILL,2,New York,A,1.0,Bachelor's,Government,Cornell University,1955,,,,,New York,New York,Chairman & Chief Executive Officer,Citigroup Inc.,Banking,W,M,1933,68,,,,,,,,2001,2006,,SANFORD,J,WEILL,,,J
JERRY I SPEYER,2,New York,B,1.0,Master's,Business,Columbia University,1964,,,,,New York,New York,Chief Executive Officer & President,Tishman Speyer Properties,Real Estate & Construction,W,M,1940,61,,,,,,,,2001,2003,,JERRY,I,SPEYER,,,I
GERALD M LEVIN,2,New York,C Dep. Chair,,JD,Law,University of Pennsylvania,1963,,,,,New York,New York,Chief Executive Officer,AOL Time Warner Inc.,Telecommunications,W,M,1939,62,,,,,,,,2001,2002,,GERALD,M,LEVIN,,,M
ROBERT J VANDERSLICE,3,Philadelphia,A,3.0,Bachelor's,Finance,Liberty University,,,,,,Pennsville,New Jersey,Chief Operating Officer & President,Pennsville National Bank,Banking,W,M,1953,48,,,,,,,,2001,2003,,ROBERT,J,VANDERSLICE,,,J
DORIS M DAMM,3,Philadelphia,B,1.0,Bachelor's,English,Fairley Dickinson College,,,,,,Cherry Hill,New Jersey,Chief Executive Officer & President,Accu Staffing Services,Services - Miscellaneous,W,F,1935,66,,,,,,,,2001,2002,,DORIS,M,DAMM,,,M
