"Symbol
",Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,"Founded
"
"SYF
",Synchrony Financial,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SYF&action=getcompany,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,0001601712,"2003
"
"SNPS
",Synopsys,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SNPS&action=getcompany,Information Technology,Application Software,"Mountain View, California",2017-03-16,0000883241,"1986
"
"SYY
",Sysco,https://www.sec.gov/cgi-bin/browse-edgar?CIK=SYY&action=getcompany,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,0000096021,"1969
"
"TMUS
",T-Mobile US,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TMUS&action=getcompany,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,0001283699,"1994
"
"TROW
",T. Rowe Price,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TROW&action=getcompany,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,0001113169,"1937
"
"TTWO
",Take-Two Interactive,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TTWO&action=getcompany,Communication Services,Interactive Home Entertainment,New York City,2018-03-19,0000946581,"1993
"
"TPR
",Tapestry,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TPR&action=getcompany,Consumer Discretionary,"Apparel, accessories & Luxury Goods",New York City,"
",0001116132,"2017
"
"TGT
",Target Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TGT&action=getcompany,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976-12-31,"0000027419
","1902
"
"TEL
",TE Connectivity,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TEL&action=getcompany,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011-10-17,"0001385157
","2007
"
"TDY
",Teledyne Technologies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TDY&action=getcompany,Industrials,Aerospace & Defense,"Thousand Oaks, California",2020-06-22,"0001094285
","1960
"
"TFX
",Teleflex,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TFX&action=getcompany,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2019-01-18,0000096943,"1943
"
"TER
",Teradyne,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TER&action=getcompany,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",2020-09-21,0000097210,"1960
"
"TSLA
",Tesla,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TSLA&action=getcompany,Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",2020-12-21,0001318605,"2003
"
"TXN
",Texas Instruments,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TXN&action=getcompany,Information Technology,Semiconductors,"Dallas, Texas",,0000097476,"1930
"
"TXT
",Textron,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TXT&action=getcompany,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,"0000217346
","1923
"
"TMO
",Thermo Fisher Scientific,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TMO&action=getcompany,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2004-08-03,0000097745,"2006 (1902)
"
"TJX
",TJX Companies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TJX&action=getcompany,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,0000109198,"1987
"
"TSCO
",Tractor Supply Company,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TSCO&action=getcompany,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014-01-24,0000916365,"1938
"
"TT
",Trane Technologies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TT&action=getcompany,Industrials,Building Products,"Dublin, Ireland",2010-11-17,"0001466258
","1871
"
"TDG
",TransDigm Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TDG&action=getcompany,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,"0001260221
","1993
"
"TRV
",The Travelers Companies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TRV&action=getcompany,Financials,Property & Casualty Insurance,New York City,2002-08-21,0000086312,"1853
"
"TRMB
",Trimble,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TRMB&action=getcompany,Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California",2021-01-21,0000864749,"1978
"
"TFC
",Truist Financial,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TFC&action=getcompany,Financials,Regional Banks,"Charlotte, North Carolina",1997-12-04,0000092230,"1872
"
"TWTR
",Twitter,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TWTR&action=getcompany,Communication Services,Interactive Media & Services,"San Francisco, California",2018-06-07,"0001418091
","2006
"
"TYL
",Tyler Technologies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TYL&action=getcompany,Information Technology,Application Software,"Plano, Texas",2020-06-22,0000860731,"1966
"
"TSN
",Tyson Foods,https://www.sec.gov/cgi-bin/browse-edgar?CIK=TSN&action=getcompany,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,0000100493,"1935
"
"UDR
",UDR,https://www.sec.gov/cgi-bin/browse-edgar?CIK=UDR&action=getcompany,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016-03-07,0000074208,"1972
"
"ULTA
",Ulta Beauty,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ULTA&action=getcompany,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016-04-18,0001403568,"1990
"
"USB
",U.S. Bancorp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=USB&action=getcompany,Financials,Diversified Banks,"Minneapolis, Minnesota",,0000036104,"1968
"
"UAA
",Under Armour (Class A),https://www.sec.gov/cgi-bin/browse-edgar?CIK=UA&action=getcompany,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2014-05-01,0001336917,"1996
"
"UA
",Under Armour (Class C),https://www.sec.gov/cgi-bin/browse-edgar?CIK=UA&action=getcompany,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2016-04-08,0001336917,"1996
"
"UNP
",Union Pacific,https://www.sec.gov/cgi-bin/browse-edgar?CIK=UNP&action=getcompany,Industrials,Railroads,"Omaha, Nebraska",1957-03-04,0000100885,"1862
"
"UAL
",United Airlines,https://www.sec.gov/cgi-bin/browse-edgar?CIK=UAL&action=getcompany,Industrials,Airlines,"Chicago, Illinois",2015-09-03,0000100517,"1967
"
"UNH
",UnitedHealth Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=UNH&action=getcompany,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,0000731766,"1977
"
"UPS
",United Parcel Service,https://www.sec.gov/cgi-bin/browse-edgar?CIK=UPS&action=getcompany,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",2002-07-22,0001090727,"1907
"
"URI
",United Rentals,https://www.sec.gov/cgi-bin/browse-edgar?CIK=URI&action=getcompany,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,0001067701,"1997
"
"UHS
",Universal Health Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=UHS&action=getcompany,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,0000352915,"1979
"
"UNM
",Unum Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=UNM&action=getcompany,Financials,Life & Health Insurance,"Chattanooga, Tennessee",1994-03-01,0000005513,"1999
"
"VLO
",Valero Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=VLO&action=getcompany,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,0001035002,"1980
"
"VTR
",Ventas,https://www.sec.gov/cgi-bin/browse-edgar?CIK=VTR&action=getcompany,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,0000740260,"1998
"
"VRSN
",Verisign,https://www.sec.gov/cgi-bin/browse-edgar?CIK=VRSN&action=getcompany,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,0001014473,"1995
"
"VRSK
",Verisk Analytics,https://www.sec.gov/cgi-bin/browse-edgar?CIK=VRSK&action=getcompany,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,0001442145,"1971
"
"VZ
",Verizon Communications,https://www.sec.gov/cgi-bin/browse-edgar?CIK=VZ&action=getcompany,"Communication Services
",Integrated Telecommunication Services,New York City,1983-11-30,"0000732712
","1983 (1877)
"
"VRTX
",Vertex Pharmaceuticals,https://www.sec.gov/cgi-bin/browse-edgar?CIK=VRTX&action=getcompany,Health Care,Biotechnology,"Cambridge, Massachusetts",2013-09-23,0000875320,"1989
"
"VFC
",VF Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=VFC&action=getcompany,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",1979-06-30,"0000103379
","1899
"
"VIAC
",ViacomCBS,https://www.sec.gov/cgi-bin/browse-edgar?CIK=VIAC&action=getcompany,Communication Services,Movies & Entertainment,New York City,,"0000813828
","2019 (1952)
"
"VTRS
",Viatris,https://www.sec.gov/cgi-bin/browse-edgar?CIK=VTRS&action=getcompany,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004-04-23,0001792044,"1961
"
"V
",Visa,https://www.sec.gov/cgi-bin/browse-edgar?CIK=V&action=getcompany,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009-12-21,0001403161,"1958
"
"VNO
",Vornado Realty Trust,https://www.sec.gov/cgi-bin/browse-edgar?CIK=VNO&action=getcompany,Real Estate,Office REITs,New York City,,0000899689,"1982
"
"VMC
",Vulcan Materials,https://www.sec.gov/cgi-bin/browse-edgar?CIK=VMC&action=getcompany,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30,"0001396009
","1909
"
"WRB
",W. R. Berkley Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WRB&action=getcompany,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,0000011544,"1967
"
"WAB
",Wabtec,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WAB&action=getcompany,Industrials,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania",2019-02-27,0000943452,"1999 (1869)
"
"WMT
",Walmart,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WMT&action=getcompany,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31,"0000104169
","1962
"
"WBA
",Walgreens Boots Alliance,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WBA&action=getcompany,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,0001618921,"2014
"
"DIS
",The Walt Disney Company,https://www.sec.gov/cgi-bin/browse-edgar?CIK=DIS&action=getcompany,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,"0001744489
","1923
"
"WM
",Waste Management,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WM&action=getcompany,Industrials,Environmental & Facilities Services,"Houston, Texas",,0000823768,"1968
"
"WAT
",Waters Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WAT&action=getcompany,Health Care,Health Care Distributors,"Milford, Massachusetts",,0001000697,"1958
"
"WEC
",WEC Energy Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WEC&action=getcompany,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,"0000783325
","1896
"
"WFC
",Wells Fargo,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WFC&action=getcompany,Financials,Diversified Banks,"San Francisco, California",1976-06-30,"0000072971
","1852
"
"WELL
",Welltower,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WELL&action=getcompany,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30,"0000766704
","1970
"
"WST
",West Pharmaceutical Services,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WST&action=getcompany,Health Care,Health Care Supplies,"Exton, Pennsylvania",2020-05-22,"0000105770
","1923
"
"WDC
",Western Digital,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WDC&action=getcompany,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2009-07-01,"0000106040
","1970
"
"WU
",Western Union,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WU&action=getcompany,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",2006-09-29,0001365135,"1851
"
"WRK
",WestRock,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WRK&action=getcompany,Materials,Paper Packaging,"Atlanta, Georgia",,0001732845,"2015
"
"WY
",Weyerhaeuser,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WY&action=getcompany,Real Estate,Specialized REITs,"Federal Way, Washington",,0000106535,"1900
"
"WHR
",Whirlpool Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WHR&action=getcompany,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,0000106640,"1911
"
"WMB
",Williams Companies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WMB&action=getcompany,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,"0000107263
","1908
"
"WLTW
",Willis Towers Watson,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WLTW&action=getcompany,Financials,Insurance Brokers,"London, England",2016-01-05,"0001140536
","2016
"
"WYNN
",Wynn Resorts,https://www.sec.gov/cgi-bin/browse-edgar?CIK=WYNN&action=getcompany,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008-11-14,"0001174922
","2002
"
"XEL
",Xcel Energy,https://www.sec.gov/cgi-bin/browse-edgar?CIK=XEL&action=getcompany,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1957-03-04,0000072903,"1909
"
"XLNX
",Xilinx,https://www.sec.gov/cgi-bin/browse-edgar?CIK=XLNX&action=getcompany,Information Technology,Semiconductors,"San Jose, California",1999-11-08,"0000743988
","1984
"
"XYL
",Xylem,https://www.sec.gov/cgi-bin/browse-edgar?CIK=XYL&action=getcompany,Industrials,Industrial Machinery,"White Plains, New York",2011-11-01,0001524472,"2011
"
"YUM
",Yum! Brands,https://www.sec.gov/cgi-bin/browse-edgar?CIK=YUM&action=getcompany,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,"0001041061
","1997
"
"ZBRA
",Zebra Technologies,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ZBRA&action=getcompany,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23,"0000877212
","1969
"
"ZBH
",Zimmer Biomet,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ZBH&action=getcompany,Health Care,Health Care Equipment,"Warsaw, Indiana",2001-08-07,"0001136869
","1927
"
"ZION
",Zions Bancorp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ZION&action=getcompany,Financials,Regional Banks,"Salt Lake City, Utah",2001-06-22,"0000109380
","1873
"
"ZTS
",Zoetis,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ZTS&action=getcompany,Health Care,Pharmaceuticals,"Parsippany, New Jersey",2013-06-21,0001555280,"1952
"
